PVSYST 8.1.4
,File,File date,Description
Project,Schaeffler Phase2 _Project.PRJ,06/12/25 09h13,Schaeffler  Phase 2:,
Geographical Site,Schaeffler SA, 58 Burman Rd, Deal Party, Gqeberha_MN82.SIT,06/12/25 09h13,Schaeffler SA, 58 Burman Rd, Deal Party, Gqeberha;South Africa;Africa;,
Weather data,Schaeffler SA_ 58 Burman Rd_ Deal Party_ Gqeberha_MN82_SYN.MET,17/02/25 20h03,Schaeffler SA, 58 Burman Rd, Deal Party, Gqeberha;Meteonorm 8.2 (2000-2017), Sat=100%;Synthetic,
Simulation variant,Schaeffler Phase2 _Project.VC2,27/07/26 19h06,Press-Shop Warehouse Sawtooth,
Simulation date,,28/07/26 12h42

Simulation:,Hourly values, from 01/01/90, to 31/12/90 

date,GlobInc,GlobEff,EArray,E_Grid,EReGrid,PR
    ,W/m²,W/m²,kW,kW,kVAh,ratio

01/01/90 00:00,0,0,0,-0.028,-0.0092,0
01/01/90 01:00,0,0,0,-0.028,-0.0092,0
01/01/90 02:00,0,0,0,-0.028,-0.0092,0
01/01/90 03:00,0,0,0,-0.028,-0.0092,0
01/01/90 04:00,0,0,0,-0.028,-0.0092,0
01/01/90 05:00,11.163,10.075,7.0745,4.3845,1.4427,0.3744
01/01/90 06:00,144.07,114.51,108.05,105.67,34.851,0.6992
01/01/90 07:00,92.24,82.81,76.737,74.899,24.683,0.774
01/01/90 08:00,72.602,65.201,59.631,58.012,19.11,0.7617
01/01/90 09:00,273.36,247.11,235.62,230.78,76.312,0.8047
01/01/90 10:00,75.343,67.68,61.793,60.149,19.815,0.761
01/01/90 11:00,435.53,399.48,376.64,367.92,122.03,0.8053
01/01/90 12:00,963.04,906.56,693.3,672.35,224.54,0.6655
01/01/90 13:00,556.65,514.71,468.76,456.97,151.88,0.7826
01/01/90 14:00,857.53,804.48,638.87,620.19,206.92,0.6894
01/01/90 15:00,741.87,693.18,577.86,561.65,187.17,0.7217
01/01/90 16:00,399.47,364.41,335.78,328.1,108.77,0.7829
01/01/90 17:00,221.96,196.97,183.59,179.79,59.409,0.7722
01/01/90 18:00,106.15,84.399,76.851,75.025,24.736,0.6737
01/01/90 19:00,4.252,3.8347,2.2973,-0.028,-0.0092,0
01/01/90 20:00,0,0,0,-0.028,-0.0092,0
01/01/90 21:00,0,0,0,-0.028,-0.0092,0
01/01/90 22:00,0,0,0,-0.028,-0.0092,0
01/01/90 23:00,0,0,0,-0.028,-0.0092,0
02/01/90 00:00,0,0,0,-0.028,-0.0092,0
02/01/90 01:00,0,0,0,-0.028,-0.0092,0
02/01/90 02:00,0,0,0,-0.028,-0.0092,0
02/01/90 03:00,0,0,0,-0.028,-0.0092,0
02/01/90 04:00,0,0,0,-0.028,-0.0092,0
02/01/90 05:00,11.157,10.065,7.1132,4.4262,1.4564,0.3782
02/01/90 06:00,131.25,95.859,90.965,88.677,29.248,0.644
02/01/90 07:00,360.25,305.48,291.63,285.4,94.517,0.7552
02/01/90 08:00,601.89,551.68,492.26,479.94,159.56,0.7601
02/01/90 09:00,811.18,759.46,617.37,599.98,200,0.7051
02/01/90 10:00,1014.9,954.84,709.59,688.12,229.85,0.6463
02/01/90 11:00,615.45,570.22,510.69,497.49,165.48,0.7705
02/01/90 12:00,635.8,586.02,522.48,508.73,169.26,0.7627
02/01/90 13:00,546.81,502.84,460.86,449.33,149.32,0.7833
02/01/90 14:00,520.87,478.5,440.71,429.82,142.78,0.7866
02/01/90 15:00,421.45,385.56,359.43,351.14,116.44,0.7942
02/01/90 16:00,351.89,319.81,300.57,293.94,97.358,0.7963
02/01/90 17:00,205.31,182.79,172.58,169.04,55.835,0.7848
02/01/90 18:00,77.526,66.411,60.563,58.95,19.422,0.7248
02/01/90 19:00,0,0,0,-0.028,-0.0092,0
02/01/90 20:00,0,0,0,-0.028,-0.0092,0
02/01/90 21:00,0,0,0,-0.028,-0.0092,0
02/01/90 22:00,0,0,0,-0.028,-0.0092,0
02/01/90 23:00,0,0,0,-0.028,-0.0092,0
03/01/90 00:00,0,0,0,-0.028,-0.0092,0
03/01/90 01:00,0,0,0,-0.028,-0.0092,0
03/01/90 02:00,0,0,0,-0.028,-0.0092,0
03/01/90 03:00,0,0,0,-0.028,-0.0092,0
03/01/90 04:00,0,0,0,-0.028,-0.0092,0
03/01/90 05:00,0,0,0,-0.028,-0.0092,0
03/01/90 06:00,109,90.417,85.318,83.309,27.459,0.7286
03/01/90 07:00,354.33,301.96,288.77,282.64,93.588,0.7604
03/01/90 08:00,674.99,616.88,537.03,523.01,174.04,0.7386
03/01/90 09:00,553.02,510.54,469.4,457.77,152.12,0.7891
03/01/90 10:00,657.22,610.39,537.37,523.15,174.1,0.7588
03/01/90 11:00,604.38,559.38,506.16,493.11,164,0.7778
